      dNch/deta       Tch[MeV]      dVdy[fm3]        Vc[fm3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi          K*/pi  omega(782)/pi         K*0/K-         f0/K*0
        339.526       0.160848        814.862        2444.59       0.999208       0.181518     0.00608627      0.0248013      0.0622314     0.00106449      0.0367741      0.0562348       0.110393       0.304897       0.206559
        362.575       0.160678        870.179        2610.54       0.999464       0.181513     0.00606343      0.0247703      0.0620305     0.00105909      0.0366428      0.0561601       0.110274       0.304493       0.206646
        387.188       0.160507        929.251        2787.75       0.999647       0.181495     0.00603976      0.0247358        0.06183     0.00105348       0.036509      0.0560815       0.110155       0.304089       0.206749
        413.472       0.160336        992.333           2977       0.999774       0.181468     0.00601545      0.0246986      0.0616299      0.0010477      0.0363734          0.056       0.110037       0.303684       0.206862
         441.54       0.160165         1059.7        3179.09       0.999859       0.181433     0.00599069      0.0246593        0.06143     0.00104181      0.0362365      0.0559161       0.109919       0.303279       0.206985
        471.514       0.159995        1131.63         3394.9       0.999915       0.181394     0.00596559      0.0246184      0.0612303     0.00103585      0.0360987      0.0558305         0.1098       0.302873       0.207113
        503.523       0.159824        1208.45        3625.36       0.999951        0.18135     0.00594027      0.0245764      0.0610306     0.00102984      0.0359601      0.0557434       0.109681       0.302466       0.207246
        537.704       0.159653        1290.49        3871.47       0.999972       0.181303      0.0059148      0.0245335      0.0608309      0.0010238      0.0358211      0.0556553       0.109561       0.302058       0.207382
        574.206       0.159482        1378.09        4134.28       0.999985       0.181254     0.00588924        0.02449      0.0606312     0.00101774      0.0356818      0.0555663        0.10944       0.301649       0.207519
        613.186       0.159311        1471.65        4414.94       0.999992       0.181203     0.00586362      0.0244461      0.0604315     0.00101168      0.0355424      0.0554766       0.109318       0.301238       0.207659
        654.812       0.159141        1571.55        4714.64       0.999996       0.181151     0.00583797      0.0244017      0.0602317     0.00100563      0.0354028      0.0553862       0.109196       0.300826       0.207799
        699.263        0.15897        1678.23         5034.7       0.999998       0.181098      0.0058123       0.024357      0.0600319    0.000999585      0.0352631      0.0552954       0.109073       0.300412       0.207939
        746.732       0.158799        1792.16        5376.47       0.999999       0.181044     0.00578663      0.0243121      0.0598319     0.00099355      0.0351235       0.055204       0.108949       0.299997       0.208081
